#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2015-04-03T15:28:59 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ551eac7f3bc3	
#INFO	-out.max=1000	
#INFO	queryParameters=12	
#-oc.form=sexa
#-out.max=1000
#-out.add=_RAJ,_DEJ
#-nav=cat:VII/220A&tab:{VII/220A/barnard}&key:source=VII/220A/barnard&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VII/220A/barnard
#-order=I
#-out=Barn
#-out=Diam
#

#RESOURCE=yCat_7220
#Name: VII/220A
#Title: Barnard's Catalogue of 349 Dark Objects in the Sky (Barnard, 1927)
#Coosys	B1875:	eq_FK4 B1875
#Table	VII_220A_barnard:
#Name: VII/220A/barnard
#Title: Positions and Diameters
#Column	_RAJ2000	(A7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Barn	(A4)	[ 0-9a]! Barnard number	[ucd=meta.id;meta.main]
#Column	Diam	(F5.1)	? Diameter of the nebula	[ucd=phys.angSize]
_RAJ2000	_DEJ2000	Barn	Diam
17 15 00.0	-20 28 49	 61 	
17 16 12.3	-20 52 36	 62 	 19.0
17 16 28.3	-21 28 33	 63 	 60.0
17 17 18.7	-18 29 23	 64 	
17 19 36.4	-26 42 01	 65 	 12.0
17 19 57.2	-26 53 58	 66 	  8.0
17 20 57.1	-26 51 47	 67 	
17 22 30.1	-21 53 29	 67a	 13.0
17 22 36.5	-23 47 28	 68 	  4.0
17 22 56.0	-23 55 25	 69 	
17 23 32.4	-24 02 18	 70 	  4.0
17 23 02.2	-24 00 24	 71 	  1.0
17 23 36.0	-23 37 17	 72 	
17 24 08.3	-24 17 12	 73 	  1.0
17 25 08.0	-24 12 01	 74 	
17 25 17.7	-22 01 59	 75 	
17 25 38.8	-24 24 56	 76 	
17 28 37.1	-23 51 23	 77 	 60.0
17 32 43.3	-25 35 39	 78 	180.0
17 37 23.2	-19 36 47	 79 	 30.0
17 37 42.7	-21 16 44	 80 	  2.0
17 38 32.8	-23 55 36	 81 	
17 38 37.3	-23 46 35	 82 	
17 38 58.6	-24 10 31	 83 	  7.0
17 45 18.8	-20 00 21	 83a	  4.0
17 46 25.6	-20 15 09	 84 	
17 57 37.4	-17 40 06	 84a	 16.0
18 02 25.2	-23 01 15	 85 	
18 03 01.6	-27 52 10	 86 	  5.0
18 04 10.7	-32 29 59	 87 	
18 04 35.0	-24 06 52	 88 	  2.0
18 04 59.9	-24 21 47	 89 	  0.5
18 10 14.1	-28 16 51	 90 	  3.0
18 10 07.6	-23 41 51	 91 	  5.0
18 15 35.2	-18 13 50	 92 	 12.0
18 16 53.7	-18 03 35	 93 	  2.0
18 25 53.6	-10 39 55	 94 	 15.0
18 25 35.9	-11 44 59	 95 	 30.0
18 26 24.5	-10 17 49	 96 	
18 29 05.4	-09 55 20	 97 	 60.0
18 33 16.4	-26 03 39	 98 	  3.0
18 33 17.6	-21 28 38	 99 	  7.0
18 32 41.0	-09 08 41	100 	 16.0
18 32 40.0	-08 48 41	101 	  8.0
18 37 41.8	-13 44 48	102 	  5.0
18 39 25.7	-06 40 27	103 	  4.0
18 47 19.4	-04 32 02	104 	 16.0
18 47 44.3	-06 54 58	105 	  0.5
18 48 50.0	-05 04 46	106 	  2.0
18 49 30.8	-05 00 38	107 	  5.0
18 49 34.5	-06 18 38	108 	  3.0
18 49 36.2	-07 33 38	109 	  0.7
18 50 08.1	-04 47 32	110 	 11.0
18 50 38.6	-04 57 26	111 	120.0
18 51 08.6	-06 40 21	112 	 18.0
18 51 24.8	-04 19 18	113 	 16.0
18 53 11.3	-06 56 59	114 	  6.0
18 53 19.5	-06 39 58	115 	  6.0
18 53 33.0	-07 10 56	116 	
18 53 43.7	-07 24 54	117 	  1.0
18 53 42.3	-04 50 53	117a	  7.0
18 53 55.8	-07 26 52	118 	  2.0
18 54 36.4	-04 32 44	119 	
18 54 39.2	-05 10 43	119a	 30.0
18 54 53.5	-04 35 41	120 	
18 55 25.6	-04 36 35	121 	
18 56 49.0	-04 45 20	122 	  4.0
18 57 39.9	-04 43 11	123 	  1.5
18 57 41.8	-04 21 11	124 	  3.0
18 58 21.9	-04 23 04	125 	  9.0
18 59 02.3	-04 31 57	126 	  8.0
19 01 31.9	-05 26 30	127 	  4.5
19 01 40.4	-04 34 29	128 	 10.0
19 02 04.5	-05 18 25	129 	  5.0
19 01 56.2	-05 34 26	130 	  7.0
19 02 15.8	-04 22 22	131 	  3.0
19 04 28.0	-04 25 59	132 	 16.0
19 06 12.9	-06 53 41	133 	
19 06 53.1	-06 14 34	134 	  6.0
19 07 32.5	-03 55 27	135 	 13.0
19 08 49.7	-04 00 13	136 	  8.0
19 16 00.2	-01 19 58	137 	
19 16 23.9	+00 13 07	138 	180.0
19 18 00.4	-01 24 37	139 	
19 19 49.1	+05 13 43	140 	 60.0
19 20 11.3	+01 53 47	141 	 20.0
19 39 41.3	+10 31 06	142 	 40.0
19 41 25.1	+11 00 24	143 	 30.0
19 58 41.4	+35 20 18	144 	270.0
20 02 49.3	+37 40 58	145 	 45.0
20 03 29.0	+36 01 04	146 	
20 06 50.3	+35 22 35	147 	 11.0
20 47 42.9	+59 37 43	148 	  3.0
20 49 01.8	+59 31 53	149 	  2.0
20 50 39.7	+60 18 07	150 	 60.0
21 08 13.6	+56 19 21	151 	 60.0
21 14 29.5	+61 44 09	152 	  9.0
21 21 03.3	+56 26 54	153 	 60.0
21 21 22.5	+56 36 56	154 	  8.0
21 32 08.5	+44 58 07	155 	 13.0
21 33 59.4	+45 35 19	156 	  8.0
21 33 41.5	+54 40 19	157 	  5.0
21 37 13.6	+43 24 39	158 	  3.0
21 38 22.8	+43 13 47	159 	 25.0
21 37 58.9	+56 13 47	160 	 31.0
21 40 22.2	+57 49 03	161 	  3.0
21 41 09.2	+56 19 07	162 	 13.0
21 42 10.0	+56 42 14	163 	
21 46 31.9	+51 05 39	164 	 20.0
21 48 56.1	+60 12 56	165 	 18.0
21 51 05.2	+60 05 09	166 	  5.0
21 51 58.2	+60 04 14	167 	  5.0
21 53 20.7	+47 16 19	168 	 10.0
21 58 52.9	+58 45 53	169 	 60.0
21 58 02.9	+58 57 48	170 	 15.0
22 01 18.8	+58 52 06	171 	 91.0
22 07 28.9	+59 40 39	173 	  4.0
22 07 19.9	+59 04 38	174 	 19.0
22 14 00.9	+69 56 15	175 	 60.0
02 13 00.1	+57 05 21	201 	 10.0
03 25 38.7	+30 16 35	202 	 22.0
03 25 50.3	+30 46 34	203 	
03 28 29.2	+30 11 11	204 	 14.0
03 28 32.0	+31 06 11	205 	 15.0
03 29 09.4	+30 11 06	206 	  5.0
04 04 35.4	+26 20 45	207 	
04 11 32.9	+25 09 39	208 	
04 12 23.2	+28 19 31	209 	
04 15 33.3	+25 04 00	210 	
04 17 12.4	+27 48 44	211 	
04 19 14.6	+25 18 24	212 	
04 21 10.6	+27 03 05	213 	
04 21 55.7	+28 32 58	214 	  5.0
04 23 34.4	+25 02 41	215 	
04 23 59.6	+26 37 37	216 	
04 27 38.5	+26 07 01	217 	
04 28 09.1	+26 16 56	218 	 15.0
04 34 51.5	+29 35 50	219 	120.0
04 41 30.0	+25 59 41	220 	  7.0
04 44 00.8	+31 44 17	221 	 45.0
05 08 23.8	+32 10 03	222 	 10.0
05 21 28.0	+08 19 36	223 	  8.0
05 23 54.9	+10 37 10	224 	 20.0
05 28 57.9	+11 36 16	225 	
05 36 34.6	+33 42 00	226 	 17.0
06 07 23.9	+19 39 20	227 	 12.0
15 44 57.9	-34 30 49	228 	240.0
16 17 40.9	-27 18 40	229 	 45.0
16 27 09.8	-16 47 03	230 	 60.0
16 38 24.3	-35 25 16	231 	 30.0
16 43 44.5	-39 49 23	232 	 10.0
16 44 45.4	-35 24 11	233 	 37.0
16 46 26.6	-30 28 52	234 	 18.0
16 47 06.4	-44 28 50	235 	  7.0
16 48 54.4	-29 48 26	236 	
16 48 55.0	-29 58 26	237 	 37.0
16 52 21.8	-23 07 48	238 	 13.0
16 55 00.2	-31 07 23	239 	 15.0
16 59 17.7	-35 21 40	240 	 20.0
16 59 27.2	-30 11 36	241 	 12.0
17 05 06.5	-32 25 38	242 	 19.0
17 09 46.1	-29 34 47	243 	 25.0
17 10 51.9	-28 24 35	244 	 25.0
17 11 55.7	-29 24 24	245 	  8.0
17 12 01.9	-22 39 21	246 	 15.0
17 13 07.0	-30 15 12	247 	  4.0
17 13 04.2	-28 59 12	248 	 10.0
17 13 04.8	-29 09 12	249 	 13.0
17 13 02.1	-28 24 12	250 	 15.0
17 13 48.8	-20 09 01	251 	 13.0
17 15 18.6	-32 08 49	252 	 20.0
17 15 31.9	-22 33 44	253 	 60.0
17 20 29.2	-30 07 53	254 	 40.0
17 20 35.2	-23 27 50	255 	  5.0
17 22 12.4	-28 49 34	256 	 50.0
17 22 46.7	-35 37 30	257 	 15.0
17 22 57.9	-34 43 28	258 	 40.0
17 22 01.5	-19 17 33	259 	 30.0
17 24 49.0	-25 37 05	260 	 10.0
17 25 04.0	-23 02 01	261 	 10.0
17 25 32.7	-22 36 56	262 	 30.0
17 26 56.5	-42 46 49	263 	 30.0
17 27 12.8	-25 31 39	264 	 10.0
17 27 36.6	-25 11 35	265 	 12.0
17 28 07.2	-20 56 28	266 	 30.0
17 28 31.8	-25 13 25	267 	  4.0
17 31 26.0	-20 30 52	268 	 75.0
17 32 13.5	-22 45 44	269 	 60.0
17 32 43.0	-19 35 38	270 	 11.0
17 34 16.9	-34 15 26	271 	120.0
17 37 36.0	-23 24 46	272 	 45.0
17 38 29.3	-33 20 40	273 	 15.0
17 38 03.6	-22 43 41	274 	 18.0
17 38 59.2	-32 19 34	275 	 13.0
17 39 39.0	-19 49 22	276 	 45.0
17 40 44.9	-23 04 12	277 	 18.0
17 42 39.3	-32 18 54	278 	 15.0
17 44 33.3	-22 33 30	279 	 60.0
17 44 57.1	-20 43 25	280 	 60.0
17 46 47.3	-23 43 06	281 	
17 48 36.5	-23 27 46	282 	 18.0
17 51 16.1	-33 52 21	283 	 75.0
17 50 06.9	-14 22 27	284 	 25.0
17 51 32.3	-12 52 11	285 	 15.0
17 53 03.7	-35 37 02	286 	 15.0
17 54 26.9	-35 11 46	287 	 30.0
17 57 06.4	-37 05 18	288 	  2.0
17 56 36.8	-29 01 20	289 	 25.0
17 59 20.7	-37 08 54	290 	  3.0
17 59 43.4	-33 53 48	291 	  5.0
18 00 34.1	-33 20 39	292 	 60.0
18 01 12.7	-35 20 33	293 	 18.0
18 01 30.3	-28 36 27	294 	  3.0
18 04 05.3	-31 10 00	295 	 50.0
18 04 04.5	-24 31 57	296 	  4.0
18 04 20.9	-18 44 53	297 	 75.0
18 05 11.1	-30 05 47	298 	  4.0
18 06 20.4	-27 17 34	299 	
18 07 01.3	-32 39 28	300 	
18 08 50.8	-18 42 03	301 	 30.0
18 09 13.5	-23 58 01	302 	 30.0
18 09 28.6	-23 59 58	303 	  1.0
18 13 20.8	-18 43 14	304 	
18 14 37.8	-31 48 05	305 	 13.0
18 15 44.6	-25 42 50	306 	  4.0
18 18 38.3	-17 57 16	307 	  6.0
18 19 08.5	-22 14 12	308 	  6.0
18 23 08.5	-24 01 29	309 	  5.0
18 30 13.2	-18 35 10	310 	  2.0
18 30 27.2	-17 40 07	311 	  6.0
18 32 10.6	-15 34 48	312 	 75.0
18 35 56.8	-15 41 07	313 	 15.0
18 37 04.7	-09 42 53	314 	 35.0
18 42 18.5	-20 02 00	315 	  5.0
18 41 50.5	-02 08 00	316 	  6.0
18 45 46.0	-14 12 21	317 	 20.0
18 49 42.8	-06 23 37	318 	 60.0
18 51 58.1	-01 16 11	319 	  7.0
18 52 47.2	-05 51 04	320 	 15.0
18 54 02.0	-11 17 52	321 	 13.0
18 55 47.1	-04 27 31	322 	  2.0
18 57 34.2	-03 25 12	323 	 17.0
18 59 23.0	-02 59 53	324 	 30.0
18 59 54.0	-04 03 47	325 	 15.0
19 03 25.6	-00 23 09	326 	 20.0
19 04 27.0	-05 07 59	327 	 25.0
19 04 49.5	-04 14 55	328 	  4.0
19 06 59.5	+03 11 29	329 	  6.0
19 19 33.6	+07 33 41	330 	 30.0
19 26 03.8	+07 34 48	331 	 40.0
19 28 00.6	+08 45 08	332 	
19 28 55.3	+10 40 18	333 	 60.0
19 35 06.0	+12 19 21	334 	  3.0
19 36 54.1	+07 36 38	335 	  6.0
19 36 41.1	+12 20 37	336 	  2.0
19 37 00.9	+12 23 40	337 	  3.0
19 43 02.8	+07 27 39	338 	  8.0
19 44 02.6	+08 17 49	339 	 60.0
19 48 44.5	+11 24 36	340 	  7.0
19 50 01.3	+34 16 54	341 	 30.0
20 09 30.8	+41 12 02	342 	  4.0
20 13 26.0	+40 16 38	343 	 13.0
20 16 12.2	+40 13 03	344 	  7.0
20 21 00.3	+46 33 48	345 	 15.0
20 26 46.1	+43 44 39	346 	 10.0
20 28 27.8	+39 54 52	347 	  1.0
20 34 26.3	+42 05 45	348 	 60.0
20 47 24.2	+43 57 34	349 	  6.0
20 49 06.7	+45 52 48	350 	  3.0
20 52 27.5	+47 24 16	351 	 20.0
20 57 10.7	+45 53 53	352 	 22.0
20 57 22.6	+45 28 54	353 	  9.0
20 58 13.1	+58 09 05	354 	 60.0
20 59 38.0	+43 11 11	355 	  5.0
20 59 58.8	+46 41 15	356 	 24.0
20 59 52.0	+55 34 17	357 	 30.0
21 05 40.6	+43 16 58	358 	 20.0
21 06 46.9	+57 10 11	359 	 20.0
21 07 52.2	+56 30 18	360 	 54.0
21 12 45.8	+47 25 52	361 	 20.0
21 23 57.7	+50 12 12	362 	 15.0
21 24 53.8	+48 56 18	363 	 40.0
21 34 04.5	+54 33 21	364 	 75.0
21 34 53.5	+56 43 27	365 	 22.0
21 40 21.5	+59 34 03	366 	 10.0
21 44 24.5	+57 10 28	367 	  5.0
21 50 55.6	+58 59 07	368 	 14.0
22 15 54.5	+56 01 21	369 	  5.0
22 34 50.7	+56 38 45	370 	

