#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2015-04-03T15:28:05 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ551ead82562d	
#INFO	-out.max=99999	
#INFO	queryParameters=14	
#-oc.form=sexa
#-out.max=99999
#-out.add=_RAJ,_DEJ
#-order=I
#-nav=cat:VII/118&tab:{VII/118/ngc2000}&key:source=VII/118/ngc2000&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VII/118/ngc2000
#-out=Name
#-out=Type
#-out=size
#-out=mag
#

#RESOURCE=yCat_7118
#Name: VII/118
#Title: NGC 2000.0 (Sky Publishing, ed. Sinnott 1988)
#Coosys	B2000:	eq_FK4 B2000
#Table	VII_118_ngc2000:
#Name: VII/118/ngc2000
#Title: The NGC 2000.0 Catalogue
#Column	_RAJ2000	(A7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Name	(A5)	NGC or IC designation (preceded by I)	[ucd=meta.id;meta.main]
#Column	Type	(A3)	Object classification (1)	[ucd=src.class]
#Column	size	(F5.1)	? Largest dimension	[ucd=phys.angSize]
#Column	mag	(F4.1)	? Integrated magnitude, visual or photographic (see n_mag)	[ucd=phot.mag;em.opt]
_RAJ2000	_DEJ2000	Name	Type	size	mag
00 06 30.1	+27 38 00	 7833	  -	     	
00 06 30.1	-03 43 00	I5386	   	     	
00 06 36.1	-03 42 00	 7832	 Gx	     	13.0
00 06 42.1	+08 21 00	 7834	 Gx	     	15.0
00 06 48.1	+08 25 00	 7835	 Gx	     	15.0
00 06 54.1	+08 20 00	 7837	 Gx	     	16.0
00 07 00.1	+08 20 00	 7838	 Gx	     	15.0
00 07 00.1	+27 38 00	 7839	 D*	     	
00 07 06.1	+08 33 00	 7840	 Gx	     	
00 07 18.1	+27 43 00	    1	 Gx	  1.9	13.0
00 07 18.1	+27 41 00	    2	 Gx	  1.4	15.0
00 07 18.1	+08 17 00	    3	 Gx	     	14.0
00 07 18.1	+32 35 00	 7831	 Gx	     	14.0
00 07 18.1	+32 37 00	I1530	 Gx	  1.8	
00 07 24.1	+08 22 00	    4	 Gx	     	
00 07 48.1	+35 21 00	    5	 Gx	     	14.0
00 08 00.1	+33 04 00	 7836	 Gx	  1.2	
00 08 18.1	+32 30 00	    6	  -	     	
00 08 24.1	-29 55 00	    7	 Gx	  2.5	
00 08 24.1	+27 43 00	I   1	 D*	     	
00 08 36.1	-33 52 00	   10	 Gx	  2.7	
00 08 42.1	+37 26 00	   11	 Gx	     	14.0
00 08 42.1	+04 37 00	   12	 Gx	  1.9	15.0
00 08 48.1	+23 50 00	    8	 D*	     	
00 08 48.1	+33 26 00	   13	 Gx	  2.7	14.0
00 08 48.1	+15 49 00	   14	 Gx	  3.0	12.0
00 08 54.1	+23 49 00	    9	 Gx	  1.5	15.0
00 09 06.1	+21 36 00	   15	 Gx	     	15.0
00 09 06.1	+27 44 00	   16	 Gx	  2.1	12.0
00 09 24.1	+27 43 00	   18	 D*	     	
00 09 24.1	+32 50 00	   19	  -	     	
00 09 30.1	+33 19 00	   20	 Gx	  2.0	15.0
00 09 36.1	-32 17 00	I1531	 Gx	  1.9	
00 09 48.1	+27 50 00	   22	 Gx	     	15.0
00 09 54.1	+25 55 00	   23	 Gx	  2.3	12.0
00 09 54.1	-24 58 00	   24	 Gx	  5.5	11.5
00 09 54.1	-57 03 00	   25	 Gx	     	
00 09 54.1	-64 22 00	I1532	 Gx	  1.6	
00 10 18.1	-57 01 00	   28	 Gx	     	
00 10 24.1	+25 50 00	   26	 Gx	  2.2	14.0
00 10 30.1	+29 00 00	   27	 Gx	     	14.0
00 10 30.1	-57 00 00	   31	 Gx	     	
00 10 36.1	-07 25 00	I1533	   	     	
00 10 42.1	+32 59 00	   21	 Gx	  1.4	14.0
00 10 48.1	+33 21 00	   29	 Gx	  1.8	14.0
00 10 48.1	+21 57 00	   30	 D*	     	
00 10 54.1	+18 47 00	   32	Ast	     	
00 10 54.1	+03 40 00	   33	 D*	     	
00 11 00.1	-12 06 00	   17	   	     	
00 11 00.1	-12 49 00	I   2	 Gx	     	
00 11 06.1	-12 06 00	   34	 Gx	     	13.0
00 11 12.1	-12 00 00	   35	 Gx	     	14.0
00 11 18.1	-56 58 00	   37	 Gx	     	
00 11 24.1	+06 23 00	   36	 Gx	  2.4	15.0
00 11 54.1	-05 36 00	   38	 Gx	     	13.0
00 12 06.1	-00 25 00	I   3	 Gx	     	
00 12 18.1	+31 03 00	   39	 Gx	     	14.0
00 12 48.1	+22 02 00	   41	 Gx	     	14.0
00 12 54.1	+22 06 00	   42	 Gx	     	15.0
00 13 00.1	+72 32 00	   40	 Pl	  0.6	11.0
00 13 00.1	+30 54 00	   43	 Gx	     	14.0
00 13 06.1	+31 17 00	   44	  -	     	
00 13 24.1	+17 29 00	I   4	 Gx	     	
00 13 48.1	+48 09 00	I1534	   	     	
00 14 00.1	+48 14 00	   48	 Gx	  1.7	15.0
00 14 00.1	+48 09 00	I1535	   	     	
00 14 06.1	-23 11 00	   45	 Gx	  8.1	10.4
00 14 06.1	+05 59 00	   46	  *	     	
00 14 12.1	+48 08 00	I1536	 Gx	  0.7	15.0
00 14 18.1	+48 14 00	   49	 Gx	     	15.0
00 14 30.1	-07 11 00	   47	 Gx	     	13.0
00 14 30.1	-07 10 00	   58	   	     	
00 14 36.1	+48 15 00	   51	 Gx	  1.8	15.0
00 14 36.1	+18 33 00	   52	 Gx	     	14.0
00 14 42.1	-07 20 00	   50	 Gx	     	
00 14 42.1	-60 20 00	   53	 Gx	  2.1	
00 14 54.1	-39 11 00	   55	 Gx	 32.4	 8.0
00 15 06.1	-07 08 00	   54	 Gx	     	14.0
00 15 24.1	+12 26 00	   56	  -	     	
00 15 24.1	+17 18 00	   57	 Gx	     	13.0
00 15 30.1	-21 27 00	   59	 Gx	     	13.0
00 16 00.1	-00 18 00	   60	 Gx	     	15.0
00 16 00.1	-39 19 00	I1537	   	     	
00 16 30.1	-06 14 00	   61	 Gx	     	15.0
00 17 06.1	-13 28 00	   62	 Gx	     	14.0
00 17 24.1	-09 33 00	I   5	 Gx	  0.8	14.0
00 17 30.1	-06 51 00	   64	 Gx	     	14.0
00 17 42.1	+11 27 00	   63	 Gx	  1.9	13.0
00 18 00.1	+30 04 00	I1538	  ?	     	
00 18 12.1	+30 04 00	   67	 Gx	  0.4	16.0
00 18 18.1	+30 04 00	   68	 Gx	  1.5	13.0
00 18 18.1	+30 02 00	   69	 Gx	  0.4	14.8
00 18 24.1	+30 05 00	   70	 Gx	  1.7	15.0
00 18 24.1	+30 04 00	   71	 Gx	  1.8	13.0
00 18 24.1	+30 06 00	I1539	   	     	
00 18 30.1	+30 02 00	   72	 Gx	  1.4	13.4
00 18 48.1	-15 21 00	   73	 Gx	     	13.0
00 18 54.1	+30 03 00	   74	 Gx	     	16.0
00 19 00.1	-03 16 00	I   6	 Gx	  0.5	14.0
00 19 06.1	-22 54 00	   65	 Gx	     	15.0
00 19 06.1	+10 33 00	I   7	   	     	
00 19 06.1	-03 13 00	I   8	 Gx	  0.7	15.0
00 19 12.1	-22 57 00	   66	 Gx	     	14.0
00 19 30.1	+06 25 00	   75	 Gx	     	15.0
00 19 36.1	+29 56 00	   76	 Gx	     	14.0
00 19 42.1	-14 07 00	I   9	 Gx	  0.4	15.0
00 19 48.1	+23 43 00	I1540	   	     	
00 20 00.1	-22 31 00	   77	   	     	
00 20 00.1	+22 01 00	I1541	 Gx	     	15.0
00 20 18.1	-02 39 00	I  12	 Gx	  0.7	16.0
00 20 24.1	+00 49 00	   78	 Gx	     	14.0
00 20 24.1	+59 18 00	I  10	 Gx	  5.1	10.3
00 20 24.1	+07 42 00	I  13	 Gx	  1.6	15.0
00 20 30.1	+56 36 00	I  11	   	     	
00 20 36.1	+22 37 00	I1542	 Gx	  0.7	15.0
00 20 54.1	+21 53 00	I1543	 Gx	  0.8	14.0
00 21 00.1	+22 34 00	   79	 Gx	     	15.0
00 21 12.1	+22 21 00	   80	 Gx	  2.5	12.1
00 21 12.1	+22 22 00	   81	 Gx	     	
00 21 12.1	-48 38 00	   87	 Gx	     	
00 21 18.1	-48 39 00	   88	 Gx	     	
00 21 18.1	-48 41 00	   89	 Gx	     	
00 21 18.1	+23 02 00	I1544	   	     	
00 21 18.1	+21 59 00	I1545	   	     	
00 21 24.1	+22 26 00	   82	 Gx	  1.3	14.0
00 21 24.1	+22 26 00	   83	 Gx	  1.6	12.6
00 21 24.1	+22 30 00	   85	 Gx	     	15.0
00 21 30.1	+22 36 00	   84	 Gx	     	17.0
00 21 30.1	+22 33 00	   86	 Gx	     	15.0
00 21 30.1	-48 38 00	   92	 Gx	     	
00 21 30.1	+22 30 00	I1546	   	     	
00 21 36.1	+22 31 00	I1547	  ?	     	
00 21 48.1	+22 25 00	   91	 Gx	  2.5	15.0
00 21 54.1	+22 25 00	   90	  *	     	
00 21 54.1	+22 01 00	I1548	 Gx	     	16.0
00 22 00.1	+22 25 00	   93	 Gx	     	14.0
00 22 12.1	+22 28 00	   94	 Gx	     	15.0
00 22 12.1	+10 30 00	   95	 Gx	  1.9	12.6
00 22 18.1	+22 33 00	   96	 Gx	     	17.0
00 22 24.1	+29 44 00	   97	 Gx	     	13.0
00 22 36.1	+10 29 00	I  14	   	     	
00 22 48.1	-45 16 00	   98	 Gx	  1.8	
00 23 12.1	+06 59 00	I1549	   	     	
00 23 54.1	-32 34 00	  101	 Gx	     	13.0
00 24 00.1	+15 47 00	   99	 Gx	  1.7	14.0
00 24 00.1	+16 29 00	  100	 Gx	  5.8	
00 24 06.1	-72 05 00	  104	 Gb	 30.9	 4.0
00 24 24.1	-13 57 00	  102	 Gx	     	14.0
00 24 24.1	+38 12 00	I1550	 Gx	  0.6	15.0
00 24 42.1	-05 10 00	  106	 Gx	     	
00 25 18.1	+61 21 00	  103	 OC	  5.0	 9.8
00 25 18.1	+12 53 00	  105	 Gx	  1.2	13.2
00 25 36.1	-08 17 00	  107	 Gx	     	
00 25 54.1	+29 13 00	  108	 Gx	     	13.0
00 26 12.1	+21 49 00	  109	 Gx	     	15.0
00 26 42.1	-02 38 00	  111	  -	     	
00 26 42.1	+31 43 00	  112	 Gx	     	14.0
00 26 48.1	-33 41 00	  115	 Gx	     	
00 26 48.1	-71 32 00	  121	 Gb	  1.5	10.6
00 27 00.1	-02 30 00	  113	 Gx	     	13.0
00 27 06.1	-01 47 00	  114	 Gx	     	15.0
00 27 06.1	-56 59 00	  119	 Gx	     	
00 27 12.1	-07 42 00	  116	 Gx	     	14.0
00 27 12.1	+01 19 00	  117	 Gx	     	15.0
00 27 18.1	-01 47 00	  118	 Gx	     	15.0
00 27 24.1	+71 23 00	  110	 OC	     	
00 27 30.1	-01 31 00	  120	 Gx	  1.8	15.0
00 27 36.1	+08 53 00	I1551	 Gx	  2.7	15.0
00 27 42.1	-01 38 00	  122	  ?	     	
00 27 48.1	-01 36 00	  123	  ?	     	
00 27 54.1	-01 49 00	  124	 Gx	  1.6	14.0
00 27 54.1	-13 05 00	I  16	 Gx	  0.5	15.0
00 28 00.1	-00 04 00	I  15	   	     	
00 28 30.1	+02 39 00	I  17	 Gx	     	15.0
00 28 30.1	-13 00 00	I  20	 Gx	  0.6	14.0
00 28 36.1	-11 34 00	I  18	 Gx	  0.6	15.0
00 28 42.1	-11 38 00	I  19	 Gx	  0.6	15.0
00 28 48.1	+02 50 00	  125	 Gx	  2.0	12.3
00 29 06.1	+02 49 00	  126	 Gx	  1.4	16.0
00 29 12.1	+02 52 00	  127	 Gx	  1.0	14.0
00 29 12.1	+02 51 00	  128	 Gx	  3.4	11.6
00 29 12.1	-00 10 00	I  21	 Gx	  0.4	14.0
00 29 18.1	+02 52 00	  130	 Gx	  0.9	14.3
00 29 36.1	-33 16 00	  131	 Gx	  2.1	
00 29 36.1	-09 03 00	I  22	 Gx	  0.6	15.0
00 29 36.1	+21 29 00	I1552	 Gx	  1.1	15.0
00 29 54.1	+60 14 00	  129	 OC	 21.0	 6.5
00 30 12.1	+02 06 00	  132	 Gx	  2.0	14.0
00 30 24.1	-33 15 00	  134	 Gx	  8.1	10.1
00 30 54.1	-12 44 00	I  23	   	     	
00 31 00.1	+05 10 00	  138	 Gx	     	15.0
00 31 00.1	+05 05 00	  139	 Gx	     	15.0
00 31 06.1	+10 11 00	  137	 Gx	     	14.0
00 31 12.1	+63 22 00	  133	 OC	  7.0	 9.0
00 31 12.1	+30 51 00	I  24	 OC	     	
00 31 12.1	-00 24 00	I  25	 Gx	  0.8	15.0
00 31 18.1	+30 47 00	  140	 Gx	     	14.0
00 31 18.1	-22 37 00	  142	 Gx	     	14.0
00 31 24.1	+05 11 00	  141	 Gx	     	15.0
00 31 24.1	-22 34 00	  143	 Gx	     	15.0
00 31 24.1	-22 39 00	  144	 Gx	     	14.0
00 31 30.1	+61 32 00	  136	 OC	  1.0	
00 31 42.1	-05 09 00	  145	 Gx	  1.8	12.8
00 31 48.1	-13 22 00	  135	   	     	
00 31 48.1	-13 20 00	I  26	   	     	
00 32 42.1	-25 35 00	I1553	 Gx	  1.0	14.0
00 32 48.1	-73 09 00	  152	 Gb	     	12.0
00 33 06.1	+63 18 00	  146	 OC	  7.0	 9.1
00 33 06.1	-13 22 00	I  27	   	     	
00 33 06.1	-13 27 00	I  28	   	     	
00 33 06.1	-32 16 00	I1554	 Gx	  1.6	
00 33 12.1	+48 30 00	  147	 Gx	 12.9	 9.3
00 33 42.1	+30 43 00	  149	 Gx	     	15.0
00 34 00.1	-09 42 00	  151	 Gx	  3.7	11.5
00 34 00.1	-09 42 00	  153	   	     	
00 34 06.1	-12 39 00	  154	 Gx	     	14.0
00 34 12.1	-02 11 00	I  29	 Gx	  0.6	15.0
00 34 18.1	-31 47 00	  148	 Gx	  2.4	12.1
00 34 18.1	-27 48 00	  150	 Gx	  4.2	11.1
00 34 18.1	-02 05 00	I  30	 Gx	  0.4	15.0
00 34 24.1	+12 17 00	I  31	 Gx	  1.4	15.0
00 34 36.1	-08 21 00	  156	 D*	     	
00 34 36.1	-55 47 00	  159	 Gx	     	
00 34 36.1	-30 01 00	I1555	 Gx	  1.5	
00 34 42.1	-10 46 00	  155	 Gx	     	13.0
00 34 48.1	-08 24 00	  157	 Gx	  4.3	10.4
00 34 54.1	-08 19 00	  158	D*?	     	
00 35 00.1	-02 08 00	I  32	 Gx	  0.4	15.0
00 35 06.1	-02 08 00	I  33	 Gx	  0.5	15.0
00 35 06.1	-09 34 00	I1556	  ?	     	
00 35 18.1	-23 22 00	  167	 Gx	     	13.0
00 35 30.1	-02 50 00	  161	 Gx	     	15.0
00 35 30.1	-02 51 00	I1557	 Gx	  0.6	16.0
00 35 36.1	+09 08 00	I  34	 Gx	  3.4	14.0
00 35 48.1	-13 37 00	  166	 Gx	     	15.0
00 35 48.1	-73 11 00	  176	 OC	     	12.0
00 35 48.1	-25 22 00	I1558	 Gx	  3.4	
00 36 00.1	-10 07 00	  163	 Gx	  1.4	12.8
00 36 06.1	+23 57 00	  160	 Gx	  3.2	12.4
00 36 06.1	+23 58 00	  162	 Gx	     	
00 36 30.1	+02 45 00	  164	 Gx	     	16.0
00 36 30.1	-10 06 00	  165	 Gx	  1.6	13.2
00 36 42.1	-22 36 00	  168	 Gx	     	14.0
00 36 42.1	+01 51 00	  170	 Gx	     	15.0
00 36 54.1	+23 59 00	  169	 Gx	  3.0	13.0
00 36 54.1	-29 29 00	  174	 Gx	     	14.0
00 36 54.1	+23 59 00	I1559	 Gx	  0.9	
00 37 12.1	+01 56 00	  173	 Gx	  3.5	15.0
00 37 18.1	-22 36 00	  172	 Gx	  2.6	
00 37 24.1	-19 56 00	  171	   	     	
00 37 24.1	-19 56 00	  175	 Gx	  2.6	12.1
00 37 30.1	-22 34 00	  177	 Gx	     	13.0
00 37 42.1	+10 21 00	I  35	 Gx	  1.3	15.0
00 37 42.1	+02 40 00	I1560	   	     	
00 37 48.1	-17 53 00	  179	 Gx	     	14.0
00 37 48.1	-15 26 00	I  36	   	     	
00 38 00.1	+08 38 00	  180	 Gx	  2.6	14.0
00 38 12.1	+29 28 00	  181	 Gx	     	15.0
00 38 12.1	+02 44 00	  182	 Gx	  2.3	12.6
00 38 18.1	+29 30 00	  183	 Gx	     	14.0
00 38 30.1	+29 26 00	  184	 Gx	     	15.0
00 38 30.1	+03 09 00	  186	 Gx	     	15.0
00 38 30.1	-15 23 00	I  37	 Gx	  0.7	15.0
00 38 30.1	-24 20 00	I1561	 Gx	  1.3	14.0
00 38 36.1	-15 26 00	I  38	 Gx	  0.6	14.0
00 38 36.1	-24 17 00	I1562	 Gx	  2.1	
00 38 54.1	+07 02 00	  190	 Gx	  1.0	14.0
00 39 00.1	+48 20 00	  185	 Gx	 11.5	 9.2
00 39 00.1	-09 00 00	  191	 Gx	  1.5	12.0
00 39 00.1	-09 01 00	I1563	 Gx	  0.6	
00 39 06.1	-14 10 00	  178	 Gx	  2.0	12.6
00 39 06.1	-18 38 00	  209	 Gx	     	14.0
00 39 06.1	-14 10 00	I  39	   	     	
00 39 12.1	+05 58 00	I1564	   	     	
00 39 18.1	+00 51 00	  192	 Gx	  2.3	14.0
00 39 18.1	+03 20 00	  193	 Gx	  1.7	12.3
00 39 18.1	+03 02 00	  194	 Gx	  1.9	12.1
00 39 18.1	+00 54 00	  196	 Gx	     	14.0
00 39 24.1	+00 53 00	  197	 Gx	     	15.0
00 39 24.1	+02 48 00	  198	 Gx	  1.3	12.8
00 39 24.1	+06 43 00	I1565	 Gx	  1.7	
00 39 24.1	+06 48 00	I1566	 Gx	  0.6	15.0
00 39 30.1	+02 26 00	I  40	 Gx	  1.2	15.0
00 39 36.1	-14 41 00	  187	 Gx	     	13.0
00 39 36.1	+61 04 00	  189	 OC	  4.0	 8.8
00 39 36.1	-09 12 00	  195	 Gx	  1.3	
00 39 36.1	+03 07 00	  199	 Gx	     	15.0
00 39 36.1	+02 53 00	  200	 Gx	  2.0	14.0
00 39 36.1	+06 37 00	I1567	   	     	
00 39 42.1	+00 51 00	  201	 Gx	  2.2	15.0
00 39 42.1	+03 31 00	  202	 Gx	     	15.0
00 39 42.1	+03 26 00	  203	 Gx	     	15.0
00 39 42.1	-14 10 00	I  41	   	     	
00 39 48.1	+03 17 00	  204	 Gx	     	14.0
00 39 54.1	+06 50 00	I1568	 Gx	  0.8	15.0
00 40 00.1	-14 18 00	  207	   	     	
00 40 06.1	-56 10 00	  212	 Gx	     	
00 40 24.1	+41 41 00	  205	 Gx	 17.4	 8.0
00 40 24.1	+02 44 00	  208	 Gx	     	15.0
00 40 24.1	+06 42 00	I1569	 Gx	  0.2	15.0
00 40 30.1	-73 24 00	  220	 OC	     	11.0
00 40 36.1	+40 44 00	  206	C+N	     	
00 40 36.1	-13 52 00	  210	 Gx	  5.4	10.9
00 40 36.1	-73 24 00	  222	 OC	     	11.0
00 40 36.1	+06 45 00	I1570	   	     	
00 40 42.1	-00 19 00	I1571	 Gx	  1.3	15.0
00 40 48.1	-56 13 00	  215	 Gx	  1.2	
00 41 00.1	+03 26 00	  211	  *	     	
00 41 00.1	-73 22 00	  231	 OC	     	12.0
00 41 06.1	-15 26 00	I  42	 Gx	  0.6	15.0
00 41 12.1	+16 28 00	  213	 Gx	     	15.0
00 41 12.1	+16 16 00	I1572	   	     	
00 41 24.1	-21 03 00	  216	 Gx	  1.8	13.3
00 41 30.1	+25 30 00	  214	 Gx	  2.1	12.2
00 41 30.1	-10 02 00	  217	 Gx	  3.3	
00 41 48.1	+36 21 00	  218	 Gx	     	15.0
00 42 12.1	+00 51 00	I  44	 Gx	  0.5	14.0
00 42 12.1	-23 32 00	I1573	   	     	
00 42 18.1	+00 54 00	  219	 Gx	     	15.0
00 42 24.1	-23 38 00	  230	 Gx	     	15.0
00 42 24.1	+29 38 00	I  43	 Gx	  2.1	
00 42 36.1	-01 32 00	  227	 Gx	  2.1	13.0
00 42 42.1	+40 52 00	  221	 Gx	  7.6	 8.2
00 42 42.1	+00 51 00	  223	 Gx	     	14.0
00 42 42.1	+41 16 00	  224	 Gx	178.0	 3.5
00 42 42.1	-23 34 00	  232	 Gx	     	14.0
00 42 42.1	+29 40 00	I  45	   	     	
00 42 48.1	+32 34 00	  226	 Gx	     	14.0
00 42 48.1	+23 30 00	  228	 Gx	     	15.0
00 42 48.1	-23 33 00	  235	 Gx	     	14.0
00 42 54.1	-13 45 00	I  47	  ?	     	
00 43 00.1	+23 29 00	  229	 Gx	     	14.0
00 43 00.1	+27 15 00	I  46	 Gx	     	15.0
00 43 06.1	-22 15 00	I1574	 Gx	  2.5	
00 43 24.1	+61 47 00	  225	 OC	 12.0	 7.0
00 43 24.1	+30 35 00	  233	 Gx	     	14.0
00 43 24.1	+14 20 00	  234	 Gx	     	13.0
00 43 24.1	-50 11 00	  238	 Gx	  1.9	
00 43 24.1	-73 26 00	  241	  -	     	
00 43 30.1	+02 56 00	  236	 Gx	     	14.0
00 43 30.1	-00 07 00	  237	 Gx	  1.8	14.0
00 43 36.1	-73 27 00	  242	 OC	     	12.0
00 43 36.1	-07 53 00	I  48	   	     	
00 43 36.1	-04 09 00	I1575	   	     	
00 44 00.1	+85 20 00	  188	 OC	 14.0	 8.1
00 44 00.1	+01 51 00	I  49	 Gx	  1.9	
00 44 12.1	-25 06 00	I1576	 Gx	  0.6	15.0
00 44 30.1	-25 04 00	I1578	 Gx	  0.6	14.0
00 44 36.1	-03 47 00	  239	   	     	
00 44 36.1	-08 08 00	I1577	   	     	
00 45 06.1	+06 08 00	  240	 Gx	     	15.0
00 45 24.1	-73 23 00	  248	 Nb	     	
00 45 24.1	-73 05 00	  249	 Nb	     	
00 45 36.1	-26 34 00	I1579	 Gx	  0.8	15.0
00 45 48.1	-15 36 00	  244	 Gx	  1.3	13.3
00 45 54.1	+29 56 00	  243	 Gx	     	14.0
00 45 54.1	-73 30 00	  256	C+N	     	12.0
00 46 06.1	-01 44 00	  245	 Gx	  1.4	13.0
00 46 06.1	-25 54 00	I1581	   	     	
00 46 12.1	-09 30 00	I  50	 Gx	  0.6	14.0
00 46 18.1	+29 55 00	I1580	   	     	
00 46 18.1	-24 18 00	I1582	 Gx	  1.2	15.0
00 46 24.1	-13 26 00	I  51	 Gx	  1.0	13.0
00 46 30.1	-73 07 00	  261	 Nb	     	
00 47 00.1	-11 53 00	  246	 Pl	  3.8	 8.0
00 47 06.1	-20 46 00	  247	 Gx	 20.0	 8.9
00 47 12.1	+23 05 00	I1583	   	     	
00 47 18.1	+07 55 00	  250	 Gx	     	15.0
00 47 18.1	+23 03 00	I1585	   	     	
